NOMBRE;OPERADOR;ETAPA;PAIS;REGION;COMUNA;ESTE_WGS;NORTE_WGS;TIPO_DEPOSITO;MINERALIZACION_HOSPEDADA;TAMAÑO_DEP;AREA_Km2;EDAD_Ma;EDAD_GEOLOGICA;ACT_HIDROT_Ma;CONTROL_ESTRUCT;INTRUSIVO;UGM;Cu;Mo;Ag;Au;Fe;PRODUCCION;TIPO_PRODUC;CANT_PROD_M;CANT_PROD_A;RECURSOS_CU;RESERVAS_CU;LEY_CU;LEY_MO;LEY_AU;MIN_MENA_1;MIN_MENA_2;%_MENA;%_PIRITA;%_Fe;MIN_GANGA_1;MIN_GANGA_2;%_GANGA;MIN_ALT ;%_ALT;TIPO_ALT_1;TIPO_ALT_2;LITO_1;LITO_2;FUENTE_1;FUENTE_2;CONTACT_NOMB;CONTACT_MAIL
Spence;BHP Group;Mina;Chile;Antofagasta;Sierra Gorda;473829;7478659;Porfido Cu-Mo;Stockwork de Vetillas A,B y D con vetillas de turmalina;Muy Grande;1,5x0,5;57;Paleoceno;44-20;Lineamiento Antofagasta Calama;Complejo granodioritico, Stocks Cuarzomonzoniticos;;Cu;Mo;;;;Cu, Mo, Ag;Oxidos y Súlfuros de Cu;19.2 Ktmf (Feb 2024);249 Ktmf (2023);232 Mt Medidos y 1.184 Mt de sulfuros indicados;;0,95-0,25% CuT;;;Atacamita, brochantita;Calcosina, covelina, bornita, calcopirita, molibdenita;;;;Limonita;Sericita;;Feldespato-K, sericita, pirita, biotita, cuarzo, clorita, pirita;;Potásica;Sericítica;Granodiorita;Cuarzomonzonita;https://www.researchgate.net/publication/225743003_Atacamite_in_the_oxide_zone_of_copper_deposits_in_northern_Chile_Involvement_of_deep_formation_waters;https://www.bhp.com/news/media-centre/reports-presentations/2012/09/2012-annual-report-summary-review-and-form-20-f;;
Sierra Gorda;KGHM (55%), Sumitomo Metals & Mining (31,5%), Sumitomo Corp (13,5%);Mina;Chile;Antofagasta;Sierra Gorda;465231;7473353;Porfido Cu-Mo;Stockwork y brechas hidrotermales con matriz de turmalina;Grande;0,8x0,8;63;Paleoceno;60-57;Lineamiento Antofagasta Calama;Stocks sienograníticos y monzograníticos;;Cu;Mo;Ag;Au;;Cu, Mo, Ag, Au;Oxidos y Súlfuros de Cu;11.1 Ktmf (Feb 2024;150.2 Ktmf (2023);2.239 Mt medidos e indicados (2011);1.274 Mt (2011) @ 0.39% Cu;0.49% CuT;0.021% ;0.059%;Calcopirita, bornita, molibdenita, calcosina;Atacamita, brochantita, crisocola;;;;Limonita;Turmalina;;Pirita,sericita, feldespato-K, turmalina, clorita, arcilla, magnetita, cuarzo;;Potásica;Sericítica;Sienogranito;Monzogranito;https://repositorio.uchile.cl/handle/2250/104305;https://minedocs.com/20/Sierra_Gorda_Project_Technical_Report_2907887_06082011.pdf;;
El Encuentro;Antofagasta Minerals;Mina;Chile;Antofagasta;Sierra Gorda;488919;7451673;Porfido Cu-Mo;Stockwork de vetillas A y B;Grande;0,65x0,6;58;Paleoceno;;Falla Encuentro, Falla Llano Las Lomas;Granodiorita Caracoles, Diatrema Encuentro;;Cu;Mo;;Au;;Cu, Au, Mo;Oxidos y Súlfuros de Cu;7.1 Ktmf (Feb 2024);79.3 Ktmf (2023);;;0,46% Cut;;;Atacamita, brochantita, crisocola, copper wad;Calcosina, calcopirita, bornita;;;;Limonita;Turmalina;;Cuarzo, pirita, turmalina, goetita, limonita, biotita;;Potásica;Sericítica;Granodiorita;Porfido dacítico;https://catalogobiblioteca.sernageomin.cl/Archivos/14905_v2_pp_315_318.pdf;http://repositorio.udec.cl/handle/11594/667;;
Esperanza;Antofagasta Minerals;Mina;Chile;Antofagasta;Sierra Gorda;494020;7460169;Porfido Cu-Mo;Stockwork con matriz de anhidrita y turmalina;Grande;1,6x1,5;60;Paleoceno;41;Falla Esperanza, Falla Llano;Stock Diorítico, Granodiorita Caracoles;;Cu;(Mo);Ag;Au;;Cu, Au, Ag-(Mo);Súlfuros de Cu;9.2 Ktmf (Feb 2024);162.7 Ktmf (2023);4.711 Mt;;0.38% CuT;<100 ppm;0.19 g/t;Calcopirita, bornita, molibdenita, covelina;;;;;Limonita;Sericita;;Turmalina, anhidrita, sericita, feldespato-K, pirita;;Potásica;Argílica;Granodiorita;Diorita;https://onlinelibrary.wiley.com/doi/full/10.1111/rge.12250?casa_token=k5lzFxb9xiIAAAAA%3AEUJFFJbahLP6fHrztinLGU45QKUNs9N3s5UMmgdP97UrzlK7RjofhBWbm3tWiza966Ba3O0Q-M5_KTk;;;
Faride;Explotadora minera del cerro;Mina;Chile;Antofagasta;Sierra Gorda;460070;7477672;Epitermal Au-Ag;Vetas epitermales;Mediano;Subterránea;63-40;Paleoceno-Eoceno;;;Plutón Sierra Gorda;;Cu;;Ag;;;Cu, Ag;Súlfuros de Cu;20 Ktmf  (2009);;660 Kt (2009);;;;;Calcopirita, galena, sulfosales de Ag y Cu, esfalerita;;;;;Sericita;Cuarzo;;Rodocrosita, baritina, siderita;;Argílica;Propilítica;Granodiorita;;https://doi.org/10.2113/gsecongeo.86.6.1222;https://www.researchgate.net/publication/265597530_Physical-chemical_properties_of_the_hydrothermal_ore_fluid_in_the_Faride_epithermal_deposit_Antofagasta_Region_Chile_from_a_preliminary_set_of_high-resolution_fluid_inclusion_data;;
Lomas Bayas;Glencore;Mina;Chile;Antofagasta;Sierra Gorda;447737;7407125;Porfido Cu-Mo;Stockwork;Grande;0,6x0,8;80-73;Cretácico Superior tardío;;Sistema de fallas San Cristobal;Plutón San Cristobal, Pórfido Fortuna;;Cu;Mo;;;;Cu;Oxidos y Súlfuros de Cu;5.7 Ktmf (Feb 2024);65.8 Ktmf (2023);435 Mt;;0,39% CuT;;;Antlerita, atacamita, azurita, brochantita, malaquita, cuprita;Calcopirita, calcosina, covelina, bornita;;;;Anhidrita;Limonita;;Anhidrita, turmalina, sericita, yeso, cuarzo, pirita;;Potásica;Sericítica;Granodiorita;Monzodiorita;;;;
Gabriela Mistral;CODELCO;Mina;Chile;Antofagasta;Sierra Gorda;518504;7410988;Porfido Cu;Stockwork;Grande;0,6x1;280-270;Pérmico;42-41;Sistema de fallas Pampa Elvira;Complejo plutónico Pampa Elvira, Porfido Gaby;;Cu;;;;;Cu;Oxidos y Súlfuros de Cu;7.8 Ktmf (Feb 2024);105.8 Ktmf (2023);519 Mt;275 Mt;0,36% CuT;;;Calcopirita, bornita, calcosina;Crisocola, atacamita, malaquita;;;;Limolita;Sericita;;Muscofita, feldespato-K, pirita, goethita, limolita, epidota, pirita;;Potásica;Sericítica;Granito de biotita;Dioritas de piroxeno;https://www.researchgate.net/publication/373659840_White_mica_alteration_in_the_Gaby_porphyry_copper_district_Northern_Chile;https://www.researchgate.net/publication/373639508_Texture_composition_alteration_styles_in_the_Permo-Triassic_Pampa_Elvira_plutonic_complex_and_the_Eocene_tonalite_porphyry_at_the_Gaby_porphyry_copper_deposit_Chile;;
Zaldivar;Antofagasta Plc (50%), Barrick Gold Corp.(50%);Mina;Chile;Antofagasta;Sierra Gorda;493118;7321568;Porfido Cu-Mo;Stockwork de Vetillas A,B y D;Grande;0,8x1;290-285;Pérmico;38-36;Sistema de fallas Domeyko, Falla Portezuelo;Pórfido Zaldivar, Formación La Tabla;;Cu;Mo;Ag;Au;;Cu;Súlfuros de Cu;6.3 Ktmf (Feb 2024);80.9 Ktmf (2023);180 Mt (2023);;0.42% CuT;;;Calcopirita, molibdenita, bornita, esfalerita;;;;;Biotita secundaria;Sericita;;Aanhidrita, magnetita, feldespato-K, pirita, cuarzo;;Potásica;Sericítica;Riodacitas;Granito de biotita;https://catalogobiblioteca.sernageomin.cl/Archivos/12993_v4_S11_030.pdf;https://pubs.geoscienceworld.org/segweb/books/edited-volume/2132/chapter-abstract/116400149/Geologic-Controls-on-Hypogene-Mineralization-at?redirectedFrom=fulltext;;
Altamira;Grupo Minero las Cenizas;Mina;Chile;Antofagasta;Taltal;414181;7142081;Estratoligado Cu-Ag;Amigdalas mineralizadas, vetillas y diseminado;Grande;Subterránea;141-129;Cretácico Inferior;90;Sistema de Fallas de Atacama;Formación Aeropuerto;;Cu;;Ag;;;Cu, Ag;Óxidos y Súlfuros de Cu;30 Ktmf;;10.4 Mt de súlfuros @ 1.2% CuT y 2.2 Mt de Óxidos @ 1.8% CuT;;1,5% CuT;;;Covelina, calcosina, calcopirita, bornita;Azurita, malaquita, crisocola;;;;Albita;Clorita;;Pirita, magnetita, hematita, sericita, clorita, albita, prehnita;;Calcosódica;Propilítica;Brecha hidrotermal;Andesita;https://link.springer.com/article/10.1007/s00126-022-01132-0;;;
Chimborazo;BHP Group (57.5%), Rio Tinto (30%), Mitsubishi Corp (8.25%), JX Nippon Mining & Metals Corp. (3%), Mitsubishi Materials Corp. (1.25%);Estudio de Factibilidad;Chile;Antofagasta;Sierra Gorda;491533;7331009;Epitermal Au-Ag;Sistema epitermal somero HS;Grande;1,2x1;41;Eoceno;39-37;Falla de Rumbo NE que corta todo el prospecto;Complejo intrusivo Chimborazo;;Cu;;;;;Cu;Súlfuros de Cu;;;223 Mt;;0.53% CuT;;;Atacamita,calcosina, covelina, enargita;Calcopirita, bornita;;;;Sericita;Jarosita;;Sericita, pirita, clorita, biotita, feldespato-K;;Argílica;Sericítica;Granodiorita;Monzodiorita;https://pubs.geoscienceworld.org/segweb/books/book/1385/chapter-abstract/107046291/Geologic-Overview-of-the-Escondida-Porphyry-Copper?redirectedFrom=fulltext;;;
Escondida;BHP Group (57.5%), Rio Tinto (30%), Mitsubishi Corp (8.25%), JX Nippon Mining & Metals Corp. (3%), Mitsubishi Materials Corp. (1.25%);Mina;Chile;Antofagasta;Antofagasta;492726;7316432;Porfido Cu-Mo;Sistema epitermal somero HS;Muy Grande;4,5X2,5;38;Eoceno;37-36;Sistema de fallas Domeyko, Falla Portezuelo, Falla Ferrocarril, Falla Panadero, Falla Ortiz;Domo Colorado Chico, Stock Escondida;;Cu;Mo;Ag;Au;;Cu,Mo, Ag, Au;Súlfuros de Cu;97.5 Ktmf (Feb 2024);1101.4 Ktmf (2023);5.262 Mt (2023);;0.54% CuT;80-200 ppm;;Esfalerita, covelina, calcosina, digenita;Molibdenita, galena, calcopirita, bornita;;;;Alunita;Sericita;;Sericita, pirita, alunita, pirofilita, anhidrita, feldespato-K, cuarzo;;Argílica;Sericítica;Granodiorita;Riolita;https://pubs.geoscienceworld.org/segweb/economicgeology/article-abstract/96/2/307/22057/Geology-of-the-Escondida-Porphyry-Copper-Deposit;https://onlinelibrary.wiley.com/doi/full/10.1111/j.1751-3928.2010.00150.x;;
Tuina;;;;;;555000;7512000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Caserones;Lumina Copper (Pan Pacific Copper Co., Ltd. (77,37%) y Mitsui & Co., Ltd. (22,63%));Mina;Chile;Atacama;copiapó;448504;6881995;Porfido Cu-Mo;Sistema epitermal somero HS;Grande;600x800 metros;260-250;pérmico-Triásico;18;Falla el Potro;granito caserones;4;Cu;Mo;;;;Cu, Mo;Óxidos y Súlfuros de Cu;9.7 Ktmf (Feb 24);137.1 Ktmf (2023);1.501 Mt (2023);850 Mt;0.28% CuT;0.01%;;calcopirita, molibdenita, bornita;calcosina,covelina, chalcantita,crisocola, brochantita, malaquita;;2 a 5% de súlfuros primarios (principalmente pirita);;Cuarzo;Sericita;;Pirita, biotita secundaria, cuarzo, sericita, magnetita;;sericitica;argílica;Monzogranito;;;;;
Delirios;Santiago Metals Proyecto Dos Ltda.;Mina;Chile;Atacama;Diego de Almagro;417520;7042333;;;Mediano;0.14;;;;;;;Cu;;;;;Cu;Oxidos de Cu;;17,4 Mt Cu (2021);4.5Mt, 0.43% CuT;3.1Mt, 0.39% CuT;0,47% CuT;;;Almagre, atacamita, azurita;;;;;Cuarzo, turmalina;;;Cuarzo;Sericita;;;Tonalita;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
